zipCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
10540,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10541,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10543,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10545,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10546,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10547,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10548,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10549,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,11.0,11.106320809105567
10550,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10552,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10553,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10560,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10562,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10566,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10567,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,2.0,2.019331056201012
10570,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10573,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10576,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10577,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10578,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
10579,5767.0,10101.0,1592.0,120.1,463.3,70917.0,990427.0,11.2,0.0,0.0
