countyCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
31105,20.0,164,13.0,205.9,363.2,51579.0,3315.0,20.9,0.0,0.0
31107,52.0,414,19.0,123.3,406.5,55797.0,8336.0,12.8,0.0,0.0
31109,1429.0,1280,472.0,141.9,428.8,54880.0,324756.0,15.6,105.0,323.31966153050286
31111,233.0,38884,83.0,163.4,475.7,68358.0,33685.0,12.5,103.0,3057.7408341991986
31115,1085.571339563863,72,3.0,294.0,461.1118493344661,68723.0,599.0,10.7,0.0,0.0
31119,195.0,56,61.0,137.8,467.9,52774.0,35368.0,15.1,13.0,367.563899570233
31121,51.0,4489,19.0,158.0,461.5,63482.0,7721.0,13.1,0.0,0.0
31123,23.0,697,8.0,106.09999999999998,356.3,68754.0,4527.0,9.2,0.0,0.0
31125,22.0,619,11.0,199.6,448.2,58889.0,3326.0,14.0,0.0,0.0
31127,43.0,371,17.0,168.2,441.1,62863.0,7035.0,11.4,2.0,284.29282160625445
31129,35.0,911,15.0,171.2,473.3,61933.0,4041.0,13.8,0.0,0.0
31131,102.0,435,36.0,145.3,471.1,57278.0,16198.0,10.9,0.0,0.0
31133,17.0,1576,7.0,144.2,389.8,70433.0,2528.0,9.9,3.0,1186.7088607594937
31135,19.0,328,8.0,160.4,447.3999999999999,55584.0,2829.0,13.199999999999998,0.0,0.0
31137,56.0,299,23.0,157.90000000000003,440.19999999999993,67296.0,8988.0,10.7,16.0,1780.1513128615932
31139,37.0,831,14.0,138.7,376.6,66287.0,7332.0,9.5,13.0,1773.049645390071
31141,189.0,681,65.0,149.7,458.2,70906.0,34296.0,9.4,0.0,0.0
31143,33.0,3361,11.0,123.9,447.8,67132.0,5166.0,9.9,0.0,0.0
31145,70.0,397,29.0,171.9,449.4,70813.0,10573.0,7.8,0.0,0.0
31147,64.0,1199,25.0,167.9,488.20000000000005,60108.0,7705.0,11.7,2.0,259.57170668397146
31149,10.0,960,3.0,114.8,393.2,56121.0,1245.0,12.8,0.0,0.0
31151,82.0,172,27.0,162.5,509.3,55648.0,14116.0,14.1,0.0,0.0
31153,855.0,1237,247.0,144.7,473.2,72948.0,196553.0,9.0,44.0,223.85819600820136
31155,136.0,11259,47.0,153.9,470.1,98619.0,23118.0,5.799999999999999,6.0,259.5380223202699
31157,213.0,1687,76.0,150.9,445.6,86179.0,35603.0,7.4,12.0,337.05024857455834
31159,84.0,5280,36.0,163.2,395.8,56853.0,17692.0,15.300000000000002,0.0,0.0
31161,33.0,1253,15.0,143.9,386.3,77778.0,4996.0,7.599999999999999,1.0,200.16012810248196
31163,22.0,709,8.0,127.2,446.1,55388.0,2980.0,14.6,0.0,0.0
31167,20.0,181,10.0,120.2,256.5,60806.0,5717.0,16.1,13.0,2273.919888053175
31169,38.0,461,14.0,153.0,507.2,75068.0,4885.0,8.2,0.0,0.0
31173,32.0,90,16.0,242.1,479.1,58818.0,6507.0,13.5,0.0,0.0
31175,33.0,1256,10.0,132.9,483.2,57129.0,4073.0,19.7,0.0,0.0
31177,127.0,516,44.0,159.1,465.1,55050.0,21167.0,12.8,47.0,2220.4374734256153
31179,38.0,1493,14.0,124.4,351.4,87368.0,9871.0,7.1,13.0,1316.9891601661434
31181,28.0,1135,13.0,214.5,499.7,65664.0,3336.0,13.3,0.0,0.0
36101,638.0,4264,232.0,166.6,476.30000000000007,65354.0,92599.0,13.599999999999998,0.0,0.0
36103,9997.0,11667,2742.0,139.2,522.0,60558.0,1525465.0,12.8,209.0,137.00740429967257
36105,465.0,100921,173.0,164.2,447.4,119253.0,79658.0,6.8,16.0,200.85867081774586
36107,347.0,12527,104.0,140.1,494.6000000000001,63733.0,47772.0,16.4,40.0,837.3105584861424
36109,495.0,4950,152.0,138.8,454.1,76197.0,104777.0,10.5,5.0,47.72039665193697
36111,1169.0,14405,396.0,149.9,458.0,72025.0,182319.0,16.0,7.0,38.39424305749812
36113,515.0,28283,171.0,164.8,515.7,79340.0,65599.0,16.2,40.0,609.7653927651336
36115,443.0,6569,159.0,175.8,505.5,69849.0,60841.0,10.1,0.0,0.0
36117,650.0,6150,215.0,167.4,515.3,67013.0,91125.0,10.6,9.0,98.76543209876543
36119,5767.0,10101,1592.0,120.1,463.3,70917.0,990427.0,11.2,197.0,198.90410903579973
36121,286.0,90385,89.0,165.2,527.5,108037.0,39666.0,9.3,54.0,1361.3674179397974
37101,1077.0,6916,341.0,161.0,479.6,58491.0,234778.0,17.6,2.0,8.518685737164471
37103,75.0,23285,25.0,162.1,502.6,80612.0,9233.0,10.0,84.0,9097.801364670204
37105,367.0,1560,128.0,164.1,480.9,56079.0,65476.0,17.1,0.0,0.0
37107,404.0,10200,141.0,169.5,511.2,58244.0,54633.0,15.8,29.0,530.8147090586276
37109,559.0,11408,182.0,161.8,491.6,46410.0,93095.0,21.3,215.0,2309.4688221709007
37111,347.0,8267,121.0,178.2,518.0,78615.0,44753.0,9.0,1.0,22.3448707349228
37113,288.0,7020,102.0,149.7,456.2,54042.0,38065.0,16.1,0.0,0.0
37115,155.0,4662,50.0,147.9,473.69999999999993,53832.0,21768.0,12.400000000000002,3.0,137.81697905181917
37117,170.0,3121,63.0,166.2,469.9,54137.0,21508.0,15.0,8.0,371.9546215361726
37119,4785.0,4340,1333.0,134.3,449.69999999999993,44445.0,1145392.0,20.4,349.0,304.69917722491516
37121,113.0,115511,43.0,166.6,456.9,80645.0,15094.0,10.3,1.0,66.25149065853981
37123,169.0,2356,63.0,154.0,430.6,53555.0,25894.0,15.699999999999998,33.0,1274.4265080713678
37125,760.0,4139,245.0,143.8,489.0,55313.0,105531.0,16.4,29.0,274.80076944215443
37127,551.0,10220,225.0,175.5,434.6,84458.0,95789.0,9.8,0.0,0.0
37129,1370.0,13636,434.0,144.0,464.0,55406.0,234921.0,14.5,26.0,110.6755036799605
37131,141.0,26876,50.0,146.2,427.7,70995.0,16779.0,11.7,0.0,0.0
37133,813.0,3229,293.0,203.90000000000003,540.4,51550.0,207298.0,19.6,47.0,226.72674121313278
37135,714.0,22869,196.0,129.2,450.80000000000007,62190.0,150477.0,12.400000000000002,291.0,1933.8503558683387
37137,111.0,18594,37.0,148.2,484.7,87780.0,12381.0,13.300000000000002,0.0,0.0
37139,220.0,1799,91.0,176.80000000000004,432.0,59845.0,40938.0,15.5,0.0,0.0
37141,375.0,5922,132.0,159.4,449.4,59066.0,65737.0,15.4,24.0,365.09119673851865
37143,95.0,6779,39.0,152.8,399.2,73663.0,13210.0,10.5,0.0,0.0
37145,281.0,1751,99.0,170.0,494.1,60665.0,39386.0,13.4,0.0,0.0
37147,802.0,5397,270.0,146.2,429.80000000000007,61302.0,173542.0,13.8,45.0,259.3032234271819
37149,162.0,32848,55.0,124.6,413.5,57319.0,19986.0,19.5,33.0,1651.1558090663466
37151,942.0,2546,337.0,175.5,496.5,61585.0,146043.0,13.0,48.0,328.6703231240114
37153,286.0,20479,108.0,178.9,482.7,58037.0,42778.0,14.2,0.0,0.0
37155,686.0,9410,290.0,188.7,447.0,44383.0,116663.0,22.6,4.0,34.28679187060165
37157,660.0,29466,236.0,168.7,489.4,39931.0,91957.0,26.1,22.0,239.24225453200953
37159,919.0,15436,330.0,177.1,496.9,52494.0,149645.0,17.0,160.0,1069.1970998028667
37161,469.0,21651,172.0,166.4,471.1,61105.0,64963.0,14.9,164.0,2524.5139540969476
37163,384.0,10500,151.0,178.19999999999996,467.6000000000001,53485.0,59120.0,16.4,39.0,659.6752368064953
37165,207.0,11707,93.0,198.3,455.0,52248.0,34162.0,20.1,2.0,58.54458169896376
37167,431.0,7420,139.0,160.5,516.6,45996.0,64153.0,24.1,33.0,514.3952737985752
37169,321.0,8046,125.0,175.6,469.3,58642.0,45175.0,12.9,7.0,154.95296070835641
37171,519.0,4683,201.0,184.7,495.7,56259.0,71403.0,10.5,7.0,98.03509656457013
37173,105.0,12242,44.0,216.3,534.5,49524.0,13967.0,17.3,1.0,71.59733657907927
37175,271.0,1846,91.0,127.4,415.5,55462.0,33355.0,13.5,2.0,59.9610253335332
37177,30.0,4362,11.0,168.2,530.6,62173.0,3365.0,13.4,0.0,0.0
37179,1203.0,639,345.0,145.8,475.90000000000003,42514.0,249070.0,19.7,46.0,184.68703577307582
37181,274.0,17565,119.0,197.6,460.9,95079.0,42138.0,7.1,3.0,71.19464616260858
37183,4959.0,8368,1318.0,130.6,453.9,49961.0,1175021.0,20.1,79.0,67.23284094497033
37185,146.0,86727,53.0,152.6,450.0,97099.0,18713.0,7.5,0.0,0.0
37187,87.0,3695,35.0,178.2,440.3,47170.0,10828.0,20.7,0.0,0.0
37189,250.0,2252,77.0,119.89999999999999,393.7,46072.0,55089.0,21.1,1.0,18.152444226615113
37191,736.0,10007,277.0,179.0,485.4,57888.0,117286.0,21.0,92.0,784.4073461453199
37193,426.0,20467,175.0,163.9,415.0,55635.0,65784.0,18.0,20.0,304.02529490453605
37195,469.0,12348,170.0,153.3,431.3,48229.0,78449.0,19.1,20.0,254.94270162780916
